path,season,competition,gameweek,scope,table,size
data/2026-2027/By Gameweek/GW10/player_gameweek_stats.csv,2026-2027,All,10.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW11/player_gameweek_stats.csv,2026-2027,All,11.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW12/player_gameweek_stats.csv,2026-2027,All,12.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW13/player_gameweek_stats.csv,2026-2027,All,13.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW14/player_gameweek_stats.csv,2026-2027,All,14.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW15/player_gameweek_stats.csv,2026-2027,All,15.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW16/player_gameweek_stats.csv,2026-2027,All,16.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW17/player_gameweek_stats.csv,2026-2027,All,17.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW18/player_gameweek_stats.csv,2026-2027,All,18.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW19/player_gameweek_stats.csv,2026-2027,All,19.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW20/player_gameweek_stats.csv,2026-2027,All,20.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW21/player_gameweek_stats.csv,2026-2027,All,21.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW22/player_gameweek_stats.csv,2026-2027,All,22.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW23/player_gameweek_stats.csv,2026-2027,All,23.0,gameweek,player_gameweek_stats,1390
