path,season,competition,gameweek,scope,table,size
data/2026-2027/By Gameweek/GW24/player_gameweek_stats.csv,2026-2027,All,24.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW25/player_gameweek_stats.csv,2026-2027,All,25.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW26/player_gameweek_stats.csv,2026-2027,All,26.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW27/player_gameweek_stats.csv,2026-2027,All,27.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW28/player_gameweek_stats.csv,2026-2027,All,28.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW29/player_gameweek_stats.csv,2026-2027,All,29.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW30/player_gameweek_stats.csv,2026-2027,All,30.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW31/player_gameweek_stats.csv,2026-2027,All,31.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW32/player_gameweek_stats.csv,2026-2027,All,32.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW33/player_gameweek_stats.csv,2026-2027,All,33.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW34/player_gameweek_stats.csv,2026-2027,All,34.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW35/player_gameweek_stats.csv,2026-2027,All,35.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW36/player_gameweek_stats.csv,2026-2027,All,36.0,gameweek,player_gameweek_stats,1390
data/2026-2027/By Gameweek/GW37/player_gameweek_stats.csv,2026-2027,All,37.0,gameweek,player_gameweek_stats,1390
